Group,Code,Name,Year,Antigen,Antigen_description,Coverage_category,Coverage_category_description,Target_number,Doses,Coverage
COUNTRIES,IND,India,2010,PCV3,Pneumococcal conjugate vaccine - 3rd dose,ADMIN,Administrative coverage (doses given / target population),1477224.0,1245696,84.3
COUNTRIES,IND,India,2010,PCV3,Pneumococcal conjugate vaccine - 3rd dose,OFFICIAL,Official country-reported coverage estimate,4172046.0,3479100,83.4
COUNTRIES,IND,India,2010,PCV3,Pneumococcal conjugate vaccine - 3rd dose,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,,880702,84.7
COUNTRIES,IND,India,2011,BCG,Bacille Calmette-Guerin (Tuberculosis),ADMIN,Administrative coverage (doses given / target population),3912803.0,2920607,74.6
COUNTRIES,IND,India,2011,BCG,Bacille Calmette-Guerin (Tuberculosis),OFFICIAL,Official country-reported coverage estimate,3341011.0,2721829,
COUNTRIES,IND,India,2011,BCG,Bacille Calmette-Guerin (Tuberculosis),WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,2800452.0,2227815,79.6
COUNTRIES,IND,India,2011,DTP1,Diphtheria/Tetanus/Pertussis - 1st dose,ADMIN,Administrative coverage (doses given / target population),2321633.0,1897573,81.7
COUNTRIES,IND,India,2011,DTP1,Diphtheria/Tetanus/Pertussis - 1st dose,OFFICIAL,Official country-reported coverage estimate,1265131.0,989209,78.2
COUNTRIES,IND,India,2011,DTP1,Diphtheria/Tetanus/Pertussis - 1st dose,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,616923.0,550264,89.2
COUNTRIES,IND,India,2011,DTP3,Diphtheria/Tetanus/Pertussis - 3rd dose,ADMIN,Administrative coverage (doses given / target population),4282646.0,3485044,81.4
COUNTRIES,IND,India,2011,DTP3,Diphtheria/Tetanus/Pertussis - 3rd dose,OFFICIAL,Official country-reported coverage estimate,2847918.0,2402554,84.4
COUNTRIES,IND,India,2011,DTP3,Diphtheria/Tetanus/Pertussis - 3rd dose,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,2848597.0,2496870,87.7
COUNTRIES,IND,India,2011,MCV1,Measles-containing vaccine - 1st dose,ADMIN,Administrative coverage (doses given / target population),2790218.0,2459447,88.1
COUNTRIES,IND,India,2011,MCV1,Measles-containing vaccine - 1st dose,OFFICIAL,Official country-reported coverage estimate,3034049.0,2445782,80.6
COUNTRIES,IND,India,2011,MCV1,Measles-containing vaccine - 1st dose,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,202548.0,179322,88.5
COUNTRIES,IND,India,2011,MCV2,Measles-containing vaccine - 2nd dose (booster),ADMIN,Administrative coverage (doses given / target population),1418914.0,1074559,75.7
COUNTRIES,IND,India,2011,MCV2,Measles-containing vaccine - 2nd dose (booster),OFFICIAL,Official country-reported coverage estimate,2072216.0,1587018,76.6
COUNTRIES,IND,India,2011,MCV2,Measles-containing vaccine - 2nd dose (booster),WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,4117288.0,3556029,
COUNTRIES,IND,India,2011,POL3,Polio - 3rd dose,ADMIN,Administrative coverage (doses given / target population),338598.0,285234,84.2
COUNTRIES,IND,India,2011,POL3,Polio - 3rd dose,OFFICIAL,Official country-reported coverage estimate,2199868.0,1777972,80.8
COUNTRIES,IND,India,2011,POL3,Polio - 3rd dose,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,3326486.0,2805442,84.3
COUNTRIES,IND,India,2011,HEPB3,Hepatitis B - 3rd dose,ADMIN,Administrative coverage (doses given / target population),4980729.0,4060748,81.5
COUNTRIES,IND,India,2011,HEPB3,Hepatitis B - 3rd dose,OFFICIAL,Official country-reported coverage estimate,3338352.0,2875186,86.1
COUNTRIES,IND,India,2011,HEPB3,Hepatitis B - 3rd dose,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,1640017.0,1331807,81.2
COUNTRIES,IND,India,2011,PCV3,Pneumococcal conjugate vaccine - 3rd dose,ADMIN,Administrative coverage (doses given / target population),876515.0,710808,81.1
COUNTRIES,IND,India,2011,PCV3,Pneumococcal conjugate vaccine - 3rd dose,OFFICIAL,Official country-reported coverage estimate,3869184.0,3339380,86.3
COUNTRIES,IND,India,2011,PCV3,Pneumococcal conjugate vaccine - 3rd dose,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,3625678.0,2921167,80.6
COUNTRIES,IND,India,2012,BCG,Bacille Calmette-Guerin (Tuberculosis),ADMIN,Administrative coverage (doses given / target population),4508077.0,3907139,86.7
COUNTRIES,IND,India,2012,BCG,Bacille Calmette-Guerin (Tuberculosis),OFFICIAL,Official country-reported coverage estimate,2530171.0,2187698,86.5
COUNTRIES,IND,India,2012,BCG,Bacille Calmette-Guerin (Tuberculosis),WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,2503348.0,2082644,83.2
COUNTRIES,IND,India,2012,DTP1,Diphtheria/Tetanus/Pertussis - 1st dose,ADMIN,Administrative coverage (doses given / target population),2258473.0,1834907,81.2
COUNTRIES,IND,India,2012,DTP1,Diphtheria/Tetanus/Pertussis - 1st dose,OFFICIAL,Official country-reported coverage estimate,3434318.0,2529762,73.7
COUNTRIES,IND,India,2012,DTP1,Diphtheria/Tetanus/Pertussis - 1st dose,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,3169898.0,2380675,75.1
COUNTRIES,IND,India,2012,DTP3,Diphtheria/Tetanus/Pertussis - 3rd dose,ADMIN,Administrative coverage (doses given / target population),1745824.0,1358282,77.8
COUNTRIES,IND,India,2012,DTP3,Diphtheria/Tetanus/Pertussis - 3rd dose,OFFICIAL,Official country-reported coverage estimate,634129.0,546517,86.2
COUNTRIES,IND,India,2012,DTP3,Diphtheria/Tetanus/Pertussis - 3rd dose,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,2500575.0,2038376,81.5
COUNTRIES,IND,India,2012,MCV1,Measles-containing vaccine - 1st dose,ADMIN,Administrative coverage (doses given / target population),3513550.0,3217731,91.6
COUNTRIES,IND,India,2012,MCV1,Measles-containing vaccine - 1st dose,OFFICIAL,Official country-reported coverage estimate,1354448.0,1194763,88.2
COUNTRIES,IND,India,2012,MCV1,Measles-containing vaccine - 1st dose,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,,3052924,78.2
COUNTRIES,IND,India,2012,MCV2,Measles-containing vaccine - 2nd dose (booster),ADMIN,Administrative coverage (doses given / target population),3697752.0,2887394,78.1
COUNTRIES,IND,India,2012,MCV2,Measles-containing vaccine - 2nd dose (booster),OFFICIAL,Official country-reported coverage estimate,1397595.0,1142548,81.8
COUNTRIES,IND,India,2012,MCV2,Measles-containing vaccine - 2nd dose (booster),WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,681505.0,500370,73.4
COUNTRIES,IND,India,2012,POL3,Polio - 3rd dose,ADMIN,Administrative coverage (doses given / target population),2306092.0,1992274,86.4
COUNTRIES,IND,India,2012,POL3,Polio - 3rd dose,OFFICIAL,Official country-reported coverage estimate,4052870.0,3251227,80.2
COUNTRIES,IND,India,2012,POL3,Polio - 3rd dose,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,2917136.0,2191029,75.1
COUNTRIES,IND,India,2012,HEPB3,Hepatitis B - 3rd dose,ADMIN,Administrative coverage (doses given / target population),146643.0,118206,80.6
COUNTRIES,IND,India,2012,HEPB3,Hepatitis B - 3rd dose,OFFICIAL,Official country-reported coverage estimate,3804671.0,3240869,85.2
COUNTRIES,IND,India,2012,HEPB3,Hepatitis B - 3rd dose,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,1577902.0,1473696,93.4
COUNTRIES,IND,India,2012,PCV3,Pneumococcal conjugate vaccine - 3rd dose,ADMIN,Administrative coverage (doses given / target population),3155178.0,2598261,82.3
COUNTRIES,IND,India,2012,PCV3,Pneumococcal conjugate vaccine - 3rd dose,OFFICIAL,Official country-reported coverage estimate,3162289.0,2683547,84.9
COUNTRIES,IND,India,2012,PCV3,Pneumococcal conjugate vaccine - 3rd dose,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,467999.0,398291,85.1
COUNTRIES,IND,India,2013,BCG,Bacille Calmette-Guerin (Tuberculosis),ADMIN,Administrative coverage (doses given / target population),938309.0,836933,89.2
COUNTRIES,IND,India,2013,BCG,Bacille Calmette-Guerin (Tuberculosis),OFFICIAL,Official country-reported coverage estimate,2495254.0,2154065,86.3
COUNTRIES,IND,India,2013,BCG,Bacille Calmette-Guerin (Tuberculosis),WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,3404629.0,2623358,77.1
COUNTRIES,IND,India,2013,DTP1,Diphtheria/Tetanus/Pertussis - 1st dose,ADMIN,Administrative coverage (doses given / target population),561844.0,451423,80.3
COUNTRIES,IND,India,2013,DTP1,Diphtheria/Tetanus/Pertussis - 1st dose,OFFICIAL,Official country-reported coverage estimate,1534964.0,1256313,81.8
COUNTRIES,IND,India,2013,DTP1,Diphtheria/Tetanus/Pertussis - 1st dose,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,4629344.0,3514836,75.9
COUNTRIES,IND,India,2013,DTP3,Diphtheria/Tetanus/Pertussis - 3rd dose,ADMIN,Administrative coverage (doses given / target population),3081637.0,2553196,82.9
COUNTRIES,IND,India,2013,DTP3,Diphtheria/Tetanus/Pertussis - 3rd dose,OFFICIAL,Official country-reported coverage estimate,2975031.0,2241996,75.4
COUNTRIES,IND,India,2013,DTP3,Diphtheria/Tetanus/Pertussis - 3rd dose,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,2119866.0,1824491,86.1
COUNTRIES,IND,India,2013,MCV1,Measles-containing vaccine - 1st dose,ADMIN,Administrative coverage (doses given / target population),2437402.0,2174504,89.2
COUNTRIES,IND,India,2013,MCV1,Measles-containing vaccine - 1st dose,OFFICIAL,Official country-reported coverage estimate,1415443.0,1415443,100.0
COUNTRIES,IND,India,2013,MCV1,Measles-containing vaccine - 1st dose,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,2458958.0,2131221,86.7
COUNTRIES,IND,India,2013,MCV2,Measles-containing vaccine - 2nd dose (booster),ADMIN,Administrative coverage (doses given / target population),,604729,71.4
COUNTRIES,IND,India,2013,MCV2,Measles-containing vaccine - 2nd dose (booster),OFFICIAL,Official country-reported coverage estimate,2880053.0,2470841,85.8
COUNTRIES,IND,India,2013,MCV2,Measles-containing vaccine - 2nd dose (booster),WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,4771175.0,3897722,81.7
COUNTRIES,IND,India,2013,POL3,Polio - 3rd dose,ADMIN,Administrative coverage (doses given / target population),1691266.0,1361683,80.5
COUNTRIES,IND,India,2013,POL3,Polio - 3rd dose,OFFICIAL,Official country-reported coverage estimate,1458566.0,1321185,90.6
COUNTRIES,IND,India,2013,POL3,Polio - 3rd dose,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,156979.0,133632,85.1
COUNTRIES,IND,India,2013,HEPB3,Hepatitis B - 3rd dose,ADMIN,Administrative coverage (doses given / target population),2736994.0,2134071,78.0
COUNTRIES,IND,India,2013,HEPB3,Hepatitis B - 3rd dose,OFFICIAL,Official country-reported coverage estimate,,551752,74.1
COUNTRIES,IND,India,2013,HEPB3,Hepatitis B - 3rd dose,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,3346644.0,2806581,83.9
COUNTRIES,IND,India,2013,PCV3,Pneumococcal conjugate vaccine - 3rd dose,ADMIN,Administrative coverage (doses given / target population),3377588.0,3201712,94.8
COUNTRIES,IND,India,2013,PCV3,Pneumococcal conjugate vaccine - 3rd dose,OFFICIAL,Official country-reported coverage estimate,4696868.0,4231019,90.1
COUNTRIES,IND,India,2013,PCV3,Pneumococcal conjugate vaccine - 3rd dose,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,3854805.0,3129696,81.2
COUNTRIES,IND,India,2014,BCG,Bacille Calmette-Guerin (Tuberculosis),ADMIN,Administrative coverage (doses given / target population),4877018.0,3842825,78.8
COUNTRIES,IND,India,2014,BCG,Bacille Calmette-Guerin (Tuberculosis),OFFICIAL,Official country-reported coverage estimate,1189559.0,954429,80.2
COUNTRIES,IND,India,2014,BCG,Bacille Calmette-Guerin (Tuberculosis),WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,2756676.0,2195884,79.7
COUNTRIES,IND,India,2014,DTP1,Diphtheria/Tetanus/Pertussis - 1st dose,ADMIN,Administrative coverage (doses given / target population),1886065.0,1690219,89.6
COUNTRIES,IND,India,2014,DTP1,Diphtheria/Tetanus/Pertussis - 1st dose,OFFICIAL,Official country-reported coverage estimate,4817898.0,4344525,90.2
COUNTRIES,IND,India,2014,DTP1,Diphtheria/Tetanus/Pertussis - 1st dose,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,1619837.0,1407557,86.9
COUNTRIES,IND,India,2014,DTP3,Diphtheria/Tetanus/Pertussis - 3rd dose,ADMIN,Administrative coverage (doses given / target population),3128206.0,2638350,84.3
COUNTRIES,IND,India,2014,DTP3,Diphtheria/Tetanus/Pertussis - 3rd dose,OFFICIAL,Official country-reported coverage estimate,2599532.0,2096692,80.7
COUNTRIES,IND,India,2014,DTP3,Diphtheria/Tetanus/Pertussis - 3rd dose,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,944474.0,773102,81.9
COUNTRIES,IND,India,2014,MCV1,Measles-containing vaccine - 1st dose,ADMIN,Administrative coverage (doses given / target population),864808.0,667905,77.2
COUNTRIES,IND,India,2014,MCV1,Measles-containing vaccine - 1st dose,OFFICIAL,Official country-reported coverage estimate,4848397.0,4151236,85.6
COUNTRIES,IND,India,2014,MCV1,Measles-containing vaccine - 1st dose,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,4962259.0,4667492,94.1
COUNTRIES,IND,India,2014,MCV2,Measles-containing vaccine - 2nd dose (booster),ADMIN,Administrative coverage (doses given / target population),4235931.0,3552821,83.9
COUNTRIES,IND,India,2014,MCV2,Measles-containing vaccine - 2nd dose (booster),OFFICIAL,Official country-reported coverage estimate,4459422.0,3848491,86.3
COUNTRIES,IND,India,2014,MCV2,Measles-containing vaccine - 2nd dose (booster),WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,2374249.0,2039517,85.9
COUNTRIES,IND,India,2014,POL3,Polio - 3rd dose,ADMIN,Administrative coverage (doses given / target population),1613848.0,1325287,82.1
COUNTRIES,IND,India,2014,POL3,Polio - 3rd dose,OFFICIAL,Official country-reported coverage estimate,2080588.0,1813395,87.2
COUNTRIES,IND,India,2014,POL3,Polio - 3rd dose,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,1899605.0,1781825,93.8
COUNTRIES,IND,India,2014,HEPB3,Hepatitis B - 3rd dose,ADMIN,Administrative coverage (doses given / target population),1930957.0,1491441,77.2
COUNTRIES,IND,India,2014,HEPB3,Hepatitis B - 3rd dose,OFFICIAL,Official country-reported coverage estimate,1349179.0,1030453,76.4
COUNTRIES,IND,India,2014,HEPB3,Hepatitis B - 3rd dose,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,207959.0,197409,94.9
COUNTRIES,IND,India,2014,PCV3,Pneumococcal conjugate vaccine - 3rd dose,ADMIN,Administrative coverage (doses given / target population),657651.0,549192,83.5
COUNTRIES,IND,India,2014,PCV3,Pneumococcal conjugate vaccine - 3rd dose,OFFICIAL,Official country-reported coverage estimate,3746360.0,3497374,93.4
COUNTRIES,IND,India,2014,PCV3,Pneumococcal conjugate vaccine - 3rd dose,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,937378.0,730620,77.9
COUNTRIES,IND,India,2015,BCG,Bacille Calmette-Guerin (Tuberculosis),ADMIN,Administrative coverage (doses given / target population),1438517.0,1278053,88.8
COUNTRIES,IND,India,2015,BCG,Bacille Calmette-Guerin (Tuberculosis),OFFICIAL,Official country-reported coverage estimate,1586102.0,1310400,82.6
COUNTRIES,IND,India,2015,BCG,Bacille Calmette-Guerin (Tuberculosis),WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,2521569.0,2118234,84.0
COUNTRIES,IND,India,2015,DTP1,Diphtheria/Tetanus/Pertussis - 1st dose,ADMIN,Administrative coverage (doses given / target population),2528668.0,2200212,87.0
COUNTRIES,IND,India,2015,DTP1,Diphtheria/Tetanus/Pertussis - 1st dose,OFFICIAL,Official country-reported coverage estimate,912678.0,780602,85.5
COUNTRIES,IND,India,2015,DTP1,Diphtheria/Tetanus/Pertussis - 1st dose,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,1186797.0,1054456,88.8
COUNTRIES,IND,India,2015,DTP3,Diphtheria/Tetanus/Pertussis - 3rd dose,ADMIN,Administrative coverage (doses given / target population),4848084.0,4105986,84.7
COUNTRIES,IND,India,2015,DTP3,Diphtheria/Tetanus/Pertussis - 3rd dose,OFFICIAL,Official country-reported coverage estimate,653070.0,521972,79.9
COUNTRIES,IND,India,2015,DTP3,Diphtheria/Tetanus/Pertussis - 3rd dose,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,3842631.0,3063205,
COUNTRIES,IND,India,2015,MCV1,Measles-containing vaccine - 1st dose,ADMIN,Administrative coverage (doses given / target population),2926527.0,2428447,83.0
COUNTRIES,IND,India,2015,MCV1,Measles-containing vaccine - 1st dose,OFFICIAL,Official country-reported coverage estimate,174251.0,134220,77.0
COUNTRIES,IND,India,2015,MCV1,Measles-containing vaccine - 1st dose,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,3591265.0,3058646,85.2
COUNTRIES,IND,India,2015,MCV2,Measles-containing vaccine - 2nd dose (booster),ADMIN,Administrative coverage (doses given / target population),2197487.0,1931950,87.9
COUNTRIES,IND,India,2015,MCV2,Measles-containing vaccine - 2nd dose (booster),OFFICIAL,Official country-reported coverage estimate,662581.0,543848,82.1
COUNTRIES,IND,India,2015,MCV2,Measles-containing vaccine - 2nd dose (booster),WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,4866946.0,4429009,91.0
COUNTRIES,IND,India,2015,POL3,Polio - 3rd dose,ADMIN,Administrative coverage (doses given / target population),1539696.0,1358226,88.2
COUNTRIES,IND,India,2015,POL3,Polio - 3rd dose,OFFICIAL,Official country-reported coverage estimate,1603000.0,1347453,84.1
COUNTRIES,IND,India,2015,POL3,Polio - 3rd dose,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,4780335.0,3862970,80.8
COUNTRIES,IND,India,2015,HEPB3,Hepatitis B - 3rd dose,ADMIN,Administrative coverage (doses given / target population),2520865.0,2179042,86.4
COUNTRIES,IND,India,2015,HEPB3,Hepatitis B - 3rd dose,OFFICIAL,Official country-reported coverage estimate,173054.0,148903,86.0
COUNTRIES,IND,India,2015,HEPB3,Hepatitis B - 3rd dose,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,4211928.0,3602386,
COUNTRIES,IND,India,2015,PCV3,Pneumococcal conjugate vaccine - 3rd dose,ADMIN,Administrative coverage (doses given / target population),574192.0,495841,86.4
COUNTRIES,IND,India,2015,PCV3,Pneumococcal conjugate vaccine - 3rd dose,OFFICIAL,Official country-reported coverage estimate,82229.0,79142,96.2
COUNTRIES,IND,India,2015,PCV3,Pneumococcal conjugate vaccine - 3rd dose,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,4832847.0,3859792,79.9
COUNTRIES,IND,India,2016,BCG,Bacille Calmette-Guerin (Tuberculosis),ADMIN,Administrative coverage (doses given / target population),,2837979,76.6
COUNTRIES,IND,India,2016,BCG,Bacille Calmette-Guerin (Tuberculosis),OFFICIAL,Official country-reported coverage estimate,4031586.0,3299491,81.8
COUNTRIES,IND,India,2016,BCG,Bacille Calmette-Guerin (Tuberculosis),WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,4242548.0,3929464,92.6
COUNTRIES,IND,India,2016,DTP1,Diphtheria/Tetanus/Pertussis - 1st dose,ADMIN,Administrative coverage (doses given / target population),138292.0,112031,81.0
COUNTRIES,IND,India,2016,DTP1,Diphtheria/Tetanus/Pertussis - 1st dose,OFFICIAL,Official country-reported coverage estimate,1290040.0,935298,72.5
COUNTRIES,IND,India,2016,DTP1,Diphtheria/Tetanus/Pertussis - 1st dose,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,3994244.0,3371512,84.4
COUNTRIES,IND,India,2016,DTP3,Diphtheria/Tetanus/Pertussis - 3rd dose,ADMIN,Administrative coverage (doses given / target population),3837478.0,3154738,82.2
COUNTRIES,IND,India,2016,DTP3,Diphtheria/Tetanus/Pertussis - 3rd dose,OFFICIAL,Official country-reported coverage estimate,3049778.0,2443607,80.1
COUNTRIES,IND,India,2016,DTP3,Diphtheria/Tetanus/Pertussis - 3rd dose,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,612957.0,458730,74.8
COUNTRIES,IND,India,2016,MCV1,Measles-containing vaccine - 1st dose,ADMIN,Administrative coverage (doses given / target population),3277058.0,2509669,76.6
COUNTRIES,IND,India,2016,MCV1,Measles-containing vaccine - 1st dose,OFFICIAL,Official country-reported coverage estimate,2678531.0,2080166,
COUNTRIES,IND,India,2016,MCV1,Measles-containing vaccine - 1st dose,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,1276805.0,1006180,78.8
COUNTRIES,IND,India,2016,MCV2,Measles-containing vaccine - 2nd dose (booster),ADMIN,Administrative coverage (doses given / target population),4212239.0,4212239,100.0
COUNTRIES,IND,India,2016,MCV2,Measles-containing vaccine - 2nd dose (booster),OFFICIAL,Official country-reported coverage estimate,4092015.0,3206334,78.4
COUNTRIES,IND,India,2016,MCV2,Measles-containing vaccine - 2nd dose (booster),WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,2403334.0,2101345,87.4
COUNTRIES,IND,India,2016,POL3,Polio - 3rd dose,ADMIN,Administrative coverage (doses given / target population),2992446.0,2865490,95.8
COUNTRIES,IND,India,2016,POL3,Polio - 3rd dose,OFFICIAL,Official country-reported coverage estimate,1627683.0,1365847,83.9
COUNTRIES,IND,India,2016,POL3,Polio - 3rd dose,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,1586156.0,1428322,90.0
COUNTRIES,IND,India,2016,HEPB3,Hepatitis B - 3rd dose,ADMIN,Administrative coverage (doses given / target population),3012870.0,2504548,83.1
COUNTRIES,IND,India,2016,HEPB3,Hepatitis B - 3rd dose,OFFICIAL,Official country-reported coverage estimate,,735343,84.6
COUNTRIES,IND,India,2016,HEPB3,Hepatitis B - 3rd dose,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,2305506.0,1935615,84.0
COUNTRIES,IND,India,2016,PCV3,Pneumococcal conjugate vaccine - 3rd dose,ADMIN,Administrative coverage (doses given / target population),621675.0,520882,83.8
COUNTRIES,IND,India,2016,PCV3,Pneumococcal conjugate vaccine - 3rd dose,OFFICIAL,Official country-reported coverage estimate,1014368.0,832322,82.1
COUNTRIES,IND,India,2016,PCV3,Pneumococcal conjugate vaccine - 3rd dose,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,914475.0,806699,88.2
COUNTRIES,IND,India,2017,BCG,Bacille Calmette-Guerin (Tuberculosis),ADMIN,Administrative coverage (doses given / target population),2604177.0,2258286,86.7
COUNTRIES,IND,India,2017,BCG,Bacille Calmette-Guerin (Tuberculosis),OFFICIAL,Official country-reported coverage estimate,3419536.0,3005628,87.9
COUNTRIES,IND,India,2017,BCG,Bacille Calmette-Guerin (Tuberculosis),WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,4922892.0,4223141,85.8
COUNTRIES,IND,India,2017,DTP1,Diphtheria/Tetanus/Pertussis - 1st dose,ADMIN,Administrative coverage (doses given / target population),2547404.0,2075011,81.5
COUNTRIES,IND,India,2017,DTP1,Diphtheria/Tetanus/Pertussis - 1st dose,OFFICIAL,Official country-reported coverage estimate,2705742.0,2305334,85.2
COUNTRIES,IND,India,2017,DTP1,Diphtheria/Tetanus/Pertussis - 1st dose,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,265201.0,260810,98.3
COUNTRIES,IND,India,2017,DTP3,Diphtheria/Tetanus/Pertussis - 3rd dose,ADMIN,Administrative coverage (doses given / target population),3230702.0,2846259,88.1
COUNTRIES,IND,India,2017,DTP3,Diphtheria/Tetanus/Pertussis - 3rd dose,OFFICIAL,Official country-reported coverage estimate,2877601.0,2336811,81.2
COUNTRIES,IND,India,2017,DTP3,Diphtheria/Tetanus/Pertussis - 3rd dose,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,85025.0,74271,87.4
