Group,Code,Name,Year,Disease,Disease_description,Cases
COUNTRIES,IND,India,2021,POLIO,Poliomyelitis,0
COUNTRIES,IND,India,2021,PERTUSSIS,Pertussis (Whooping cough),220
COUNTRIES,IND,India,2021,DIPHTHERIA,Diphtheria,156
COUNTRIES,IND,India,2021,TB,Tuberculosis,288
COUNTRIES,IND,India,2021,HEPB,Hepatitis B,300
COUNTRIES,IND,India,2022,MEASLES,Measles,0
COUNTRIES,IND,India,2022,POLIO,Poliomyelitis,398
COUNTRIES,IND,India,2022,PERTUSSIS,Pertussis (Whooping cough),137
COUNTRIES,IND,India,2022,DIPHTHERIA,Diphtheria,439
COUNTRIES,IND,India,2022,TB,Tuberculosis,0
COUNTRIES,IND,India,2022,HEPB,Hepatitis B,0
COUNTRIES,IND,India,2023,MEASLES,Measles,281
COUNTRIES,IND,India,2023,POLIO,Poliomyelitis,140
COUNTRIES,IND,India,2023,PERTUSSIS,Pertussis (Whooping cough),257
COUNTRIES,IND,India,2023,DIPHTHERIA,Diphtheria,138
COUNTRIES,IND,India,2023,TB,Tuberculosis,73
COUNTRIES,IND,India,2023,HEPB,Hepatitis B,12
COUNTRIES,USA,United States of America,2010,MEASLES,Measles,106
COUNTRIES,USA,United States of America,2010,POLIO,Poliomyelitis,1627
COUNTRIES,USA,United States of America,2010,PERTUSSIS,Pertussis (Whooping cough),469
COUNTRIES,USA,United States of America,2010,DIPHTHERIA,Diphtheria,1334
COUNTRIES,USA,United States of America,2010,TB,Tuberculosis,1424
COUNTRIES,USA,United States of America,2010,HEPB,Hepatitis B,1297
COUNTRIES,USA,United States of America,2011,MEASLES,Measles,1716
COUNTRIES,USA,United States of America,2011,POLIO,Poliomyelitis,113
COUNTRIES,USA,United States of America,2011,PERTUSSIS,Pertussis (Whooping cough),890
COUNTRIES,USA,United States of America,2011,DIPHTHERIA,Diphtheria,174
COUNTRIES,USA,United States of America,2011,TB,Tuberculosis,1293
COUNTRIES,USA,United States of America,2011,HEPB,Hepatitis B,576
COUNTRIES,USA,United States of America,2012,MEASLES,Measles,756
COUNTRIES,USA,United States of America,2012,POLIO,Poliomyelitis,216
COUNTRIES,USA,United States of America,2012,PERTUSSIS,Pertussis (Whooping cough),241
COUNTRIES,USA,United States of America,2012,DIPHTHERIA,Diphtheria,1233
COUNTRIES,USA,United States of America,2012,TB,Tuberculosis,878
COUNTRIES,USA,United States of America,2012,HEPB,Hepatitis B,672
COUNTRIES,USA,United States of America,2013,MEASLES,Measles,422
COUNTRIES,USA,United States of America,2013,POLIO,Poliomyelitis,1361
COUNTRIES,USA,United States of America,2013,PERTUSSIS,Pertussis (Whooping cough),549
COUNTRIES,USA,United States of America,2013,DIPHTHERIA,Diphtheria,435
COUNTRIES,USA,United States of America,2013,TB,Tuberculosis,527
COUNTRIES,USA,United States of America,2013,HEPB,Hepatitis B,67
COUNTRIES,USA,United States of America,2014,MEASLES,Measles,500
COUNTRIES,USA,United States of America,2014,POLIO,Poliomyelitis,1494
COUNTRIES,USA,United States of America,2014,PERTUSSIS,Pertussis (Whooping cough),1044
COUNTRIES,USA,United States of America,2014,DIPHTHERIA,Diphtheria,1083
COUNTRIES,USA,United States of America,2014,TB,Tuberculosis,526
COUNTRIES,USA,United States of America,2014,HEPB,Hepatitis B,668
COUNTRIES,USA,United States of America,2015,MEASLES,Measles,1130
COUNTRIES,USA,United States of America,2015,POLIO,Poliomyelitis,92
COUNTRIES,USA,United States of America,2015,PERTUSSIS,Pertussis (Whooping cough),183
COUNTRIES,USA,United States of America,2015,DIPHTHERIA,Diphtheria,787
COUNTRIES,USA,United States of America,2015,TB,Tuberculosis,1195
COUNTRIES,USA,United States of America,2015,HEPB,Hepatitis B,469
COUNTRIES,USA,United States of America,2016,MEASLES,Measles,1546
COUNTRIES,USA,United States of America,2016,POLIO,Poliomyelitis,667
COUNTRIES,USA,United States of America,2016,PERTUSSIS,Pertussis (Whooping cough),441
COUNTRIES,USA,United States of America,2016,DIPHTHERIA,Diphtheria,1465
COUNTRIES,USA,United States of America,2016,TB,Tuberculosis,1137
COUNTRIES,USA,United States of America,2016,HEPB,Hepatitis B,46
COUNTRIES,USA,United States of America,2017,MEASLES,Measles,275
COUNTRIES,USA,United States of America,2017,POLIO,Poliomyelitis,50
COUNTRIES,USA,United States of America,2017,PERTUSSIS,Pertussis (Whooping cough),1070
COUNTRIES,USA,United States of America,2017,DIPHTHERIA,Diphtheria,933
COUNTRIES,USA,United States of America,2017,TB,Tuberculosis,510
COUNTRIES,USA,United States of America,2017,HEPB,Hepatitis B,494
COUNTRIES,USA,United States of America,2018,MEASLES,Measles,1155
COUNTRIES,USA,United States of America,2018,POLIO,Poliomyelitis,702
COUNTRIES,USA,United States of America,2018,PERTUSSIS,Pertussis (Whooping cough),1473
COUNTRIES,USA,United States of America,2018,DIPHTHERIA,Diphtheria,1978
COUNTRIES,USA,United States of America,2018,TB,Tuberculosis,852
COUNTRIES,USA,United States of America,2018,HEPB,Hepatitis B,144
COUNTRIES,USA,United States of America,2019,MEASLES,Measles,950
COUNTRIES,USA,United States of America,2019,POLIO,Poliomyelitis,110
COUNTRIES,USA,United States of America,2019,PERTUSSIS,Pertussis (Whooping cough),1175
COUNTRIES,USA,United States of America,2019,DIPHTHERIA,Diphtheria,17
COUNTRIES,USA,United States of America,2019,TB,Tuberculosis,428
COUNTRIES,USA,United States of America,2019,HEPB,Hepatitis B,512
COUNTRIES,USA,United States of America,2020,MEASLES,Measles,1090
COUNTRIES,USA,United States of America,2020,POLIO,Poliomyelitis,569
COUNTRIES,USA,United States of America,2020,PERTUSSIS,Pertussis (Whooping cough),430
COUNTRIES,USA,United States of America,2020,DIPHTHERIA,Diphtheria,293
COUNTRIES,USA,United States of America,2020,TB,Tuberculosis,1767
COUNTRIES,USA,United States of America,2020,HEPB,Hepatitis B,1326
COUNTRIES,USA,United States of America,2021,MEASLES,Measles,949
COUNTRIES,USA,United States of America,2021,POLIO,Poliomyelitis,1135
COUNTRIES,USA,United States of America,2021,PERTUSSIS,Pertussis (Whooping cough),1083
COUNTRIES,USA,United States of America,2021,DIPHTHERIA,Diphtheria,454
COUNTRIES,USA,United States of America,2021,TB,Tuberculosis,719
COUNTRIES,USA,United States of America,2021,HEPB,Hepatitis B,644
COUNTRIES,USA,United States of America,2022,MEASLES,Measles,119
COUNTRIES,USA,United States of America,2022,POLIO,Poliomyelitis,430
COUNTRIES,USA,United States of America,2022,PERTUSSIS,Pertussis (Whooping cough),1089
COUNTRIES,USA,United States of America,2022,DIPHTHERIA,Diphtheria,26
COUNTRIES,USA,United States of America,2022,TB,Tuberculosis,1201
COUNTRIES,USA,United States of America,2022,HEPB,Hepatitis B,97
COUNTRIES,USA,United States of America,2023,MEASLES,Measles,733
COUNTRIES,USA,United States of America,2023,POLIO,Poliomyelitis,609
COUNTRIES,USA,United States of America,2023,PERTUSSIS,Pertussis (Whooping cough),305
COUNTRIES,USA,United States of America,2023,DIPHTHERIA,Diphtheria,39
COUNTRIES,USA,United States of America,2023,TB,Tuberculosis,396
COUNTRIES,USA,United States of America,2023,HEPB,Hepatitis B,490
COUNTRIES,NGA,Nigeria,2010,MEASLES,Measles,675
COUNTRIES,NGA,Nigeria,2010,POLIO,Poliomyelitis,321
COUNTRIES,NGA,Nigeria,2010,PERTUSSIS,Pertussis (Whooping cough),0
COUNTRIES,NGA,Nigeria,2010,DIPHTHERIA,Diphtheria,23
COUNTRIES,NGA,Nigeria,2010,TB,Tuberculosis,536
COUNTRIES,NGA,Nigeria,2010,HEPB,Hepatitis B,295
COUNTRIES,NGA,Nigeria,2011,MEASLES,Measles,379
COUNTRIES,NGA,Nigeria,2011,POLIO,Poliomyelitis,113
COUNTRIES,NGA,Nigeria,2011,PERTUSSIS,Pertussis (Whooping cough),307
COUNTRIES,NGA,Nigeria,2011,DIPHTHERIA,Diphtheria,51
COUNTRIES,NGA,Nigeria,2011,TB,Tuberculosis,280
COUNTRIES,NGA,Nigeria,2011,HEPB,Hepatitis B,80
COUNTRIES,NGA,Nigeria,2012,MEASLES,Measles,0
COUNTRIES,NGA,Nigeria,2012,POLIO,Poliomyelitis,139
COUNTRIES,NGA,Nigeria,2012,PERTUSSIS,Pertussis (Whooping cough),413
COUNTRIES,NGA,Nigeria,2012,DIPHTHERIA,Diphtheria,464
COUNTRIES,NGA,Nigeria,2012,TB,Tuberculosis,15
COUNTRIES,NGA,Nigeria,2012,HEPB,Hepatitis B,0
COUNTRIES,NGA,Nigeria,2013,MEASLES,Measles,436
COUNTRIES,NGA,Nigeria,2013,POLIO,Poliomyelitis,0
COUNTRIES,NGA,Nigeria,2013,PERTUSSIS,Pertussis (Whooping cough),35
COUNTRIES,NGA,Nigeria,2013,DIPHTHERIA,Diphtheria,177
COUNTRIES,NGA,Nigeria,2013,TB,Tuberculosis,0
COUNTRIES,NGA,Nigeria,2013,HEPB,Hepatitis B,1525
COUNTRIES,NGA,Nigeria,2014,MEASLES,Measles,508
COUNTRIES,NGA,Nigeria,2014,POLIO,Poliomyelitis,2930
COUNTRIES,NGA,Nigeria,2014,PERTUSSIS,Pertussis (Whooping cough),1083
COUNTRIES,NGA,Nigeria,2014,DIPHTHERIA,Diphtheria,8
COUNTRIES,NGA,Nigeria,2014,TB,Tuberculosis,0
COUNTRIES,NGA,Nigeria,2014,HEPB,Hepatitis B,300
COUNTRIES,NGA,Nigeria,2015,MEASLES,Measles,0
COUNTRIES,NGA,Nigeria,2015,POLIO,Poliomyelitis,335
COUNTRIES,NGA,Nigeria,2015,PERTUSSIS,Pertussis (Whooping cough),55
COUNTRIES,NGA,Nigeria,2015,DIPHTHERIA,Diphtheria,0
COUNTRIES,NGA,Nigeria,2015,TB,Tuberculosis,962
COUNTRIES,NGA,Nigeria,2015,HEPB,Hepatitis B,56
COUNTRIES,NGA,Nigeria,2016,MEASLES,Measles,45
COUNTRIES,NGA,Nigeria,2016,POLIO,Poliomyelitis,97
COUNTRIES,NGA,Nigeria,2016,PERTUSSIS,Pertussis (Whooping cough),391
COUNTRIES,NGA,Nigeria,2016,DIPHTHERIA,Diphtheria,41
COUNTRIES,NGA,Nigeria,2016,TB,Tuberculosis,552
COUNTRIES,NGA,Nigeria,2016,HEPB,Hepatitis B,0
COUNTRIES,NGA,Nigeria,2017,MEASLES,Measles,372
COUNTRIES,NGA,Nigeria,2017,POLIO,Poliomyelitis,62
COUNTRIES,NGA,Nigeria,2017,PERTUSSIS,Pertussis (Whooping cough),51
COUNTRIES,NGA,Nigeria,2017,DIPHTHERIA,Diphtheria,101
COUNTRIES,NGA,Nigeria,2017,TB,Tuberculosis,39
COUNTRIES,NGA,Nigeria,2017,HEPB,Hepatitis B,36
COUNTRIES,NGA,Nigeria,2018,MEASLES,Measles,0
COUNTRIES,NGA,Nigeria,2018,POLIO,Poliomyelitis,10
COUNTRIES,NGA,Nigeria,2018,PERTUSSIS,Pertussis (Whooping cough),0
COUNTRIES,NGA,Nigeria,2018,DIPHTHERIA,Diphtheria,588
COUNTRIES,NGA,Nigeria,2018,TB,Tuberculosis,366
COUNTRIES,NGA,Nigeria,2018,HEPB,Hepatitis B,221
COUNTRIES,NGA,Nigeria,2019,MEASLES,Measles,0
COUNTRIES,NGA,Nigeria,2019,POLIO,Poliomyelitis,144
COUNTRIES,NGA,Nigeria,2019,PERTUSSIS,Pertussis (Whooping cough),11
COUNTRIES,NGA,Nigeria,2019,DIPHTHERIA,Diphtheria,115
COUNTRIES,NGA,Nigeria,2019,TB,Tuberculosis,44
COUNTRIES,NGA,Nigeria,2019,HEPB,Hepatitis B,157
COUNTRIES,NGA,Nigeria,2020,MEASLES,Measles,63
COUNTRIES,NGA,Nigeria,2020,POLIO,Poliomyelitis,823
COUNTRIES,NGA,Nigeria,2020,PERTUSSIS,Pertussis (Whooping cough),34
COUNTRIES,NGA,Nigeria,2020,DIPHTHERIA,Diphtheria,161
COUNTRIES,NGA,Nigeria,2020,TB,Tuberculosis,0
COUNTRIES,NGA,Nigeria,2020,HEPB,Hepatitis B,306
COUNTRIES,NGA,Nigeria,2021,MEASLES,Measles,306
COUNTRIES,NGA,Nigeria,2021,POLIO,Poliomyelitis,696
COUNTRIES,NGA,Nigeria,2021,PERTUSSIS,Pertussis (Whooping cough),128
COUNTRIES,NGA,Nigeria,2021,DIPHTHERIA,Diphtheria,596
COUNTRIES,NGA,Nigeria,2021,TB,Tuberculosis,0
COUNTRIES,NGA,Nigeria,2021,HEPB,Hepatitis B,51
COUNTRIES,NGA,Nigeria,2022,MEASLES,Measles,169
COUNTRIES,NGA,Nigeria,2022,POLIO,Poliomyelitis,323
COUNTRIES,NGA,Nigeria,2022,PERTUSSIS,Pertussis (Whooping cough),0
COUNTRIES,NGA,Nigeria,2022,DIPHTHERIA,Diphtheria,295
COUNTRIES,NGA,Nigeria,2022,TB,Tuberculosis,190
COUNTRIES,NGA,Nigeria,2022,HEPB,Hepatitis B,0
COUNTRIES,NGA,Nigeria,2023,MEASLES,Measles,53
COUNTRIES,NGA,Nigeria,2023,POLIO,Poliomyelitis,47
COUNTRIES,NGA,Nigeria,2023,PERTUSSIS,Pertussis (Whooping cough),695
COUNTRIES,NGA,Nigeria,2023,DIPHTHERIA,Diphtheria,64
COUNTRIES,NGA,Nigeria,2023,TB,Tuberculosis,0
COUNTRIES,NGA,Nigeria,2023,HEPB,Hepatitis B,127
COUNTRIES,BRA,Brazil,2010,MEASLES,Measles,254
COUNTRIES,BRA,Brazil,2010,POLIO,Poliomyelitis,644
COUNTRIES,BRA,Brazil,2010,PERTUSSIS,Pertussis (Whooping cough),382
COUNTRIES,BRA,Brazil,2010,DIPHTHERIA,Diphtheria,1594
COUNTRIES,BRA,Brazil,2010,TB,Tuberculosis,0
COUNTRIES,BRA,Brazil,2010,HEPB,Hepatitis B,552
COUNTRIES,BRA,Brazil,2011,MEASLES,Measles,530
COUNTRIES,BRA,Brazil,2011,POLIO,Poliomyelitis,735
COUNTRIES,BRA,Brazil,2011,PERTUSSIS,Pertussis (Whooping cough),179
COUNTRIES,BRA,Brazil,2011,DIPHTHERIA,Diphtheria,259
COUNTRIES,BRA,Brazil,2011,TB,Tuberculosis,761
COUNTRIES,BRA,Brazil,2011,HEPB,Hepatitis B,293
COUNTRIES,BRA,Brazil,2012,MEASLES,Measles,13
COUNTRIES,BRA,Brazil,2012,POLIO,Poliomyelitis,40
COUNTRIES,BRA,Brazil,2012,PERTUSSIS,Pertussis (Whooping cough),261
COUNTRIES,BRA,Brazil,2012,DIPHTHERIA,Diphtheria,357
COUNTRIES,BRA,Brazil,2012,TB,Tuberculosis,210
COUNTRIES,BRA,Brazil,2012,HEPB,Hepatitis B,430
COUNTRIES,BRA,Brazil,2013,MEASLES,Measles,37
COUNTRIES,BRA,Brazil,2013,POLIO,Poliomyelitis,725
COUNTRIES,BRA,Brazil,2013,PERTUSSIS,Pertussis (Whooping cough),984
COUNTRIES,BRA,Brazil,2013,DIPHTHERIA,Diphtheria,560
COUNTRIES,BRA,Brazil,2013,TB,Tuberculosis,926
COUNTRIES,BRA,Brazil,2013,HEPB,Hepatitis B,417
COUNTRIES,BRA,Brazil,2014,MEASLES,Measles,1531
COUNTRIES,BRA,Brazil,2014,POLIO,Poliomyelitis,594
COUNTRIES,BRA,Brazil,2014,PERTUSSIS,Pertussis (Whooping cough),1252
COUNTRIES,BRA,Brazil,2014,DIPHTHERIA,Diphtheria,333
COUNTRIES,BRA,Brazil,2014,TB,Tuberculosis,0
COUNTRIES,BRA,Brazil,2014,HEPB,Hepatitis B,602
COUNTRIES,BRA,Brazil,2015,MEASLES,Measles,507
COUNTRIES,BRA,Brazil,2015,POLIO,Poliomyelitis,336
COUNTRIES,BRA,Brazil,2015,PERTUSSIS,Pertussis (Whooping cough),309
COUNTRIES,BRA,Brazil,2015,DIPHTHERIA,Diphtheria,94
COUNTRIES,BRA,Brazil,2015,TB,Tuberculosis,413
COUNTRIES,BRA,Brazil,2015,HEPB,Hepatitis B,30
COUNTRIES,BRA,Brazil,2016,MEASLES,Measles,11
COUNTRIES,BRA,Brazil,2016,POLIO,Poliomyelitis,393
COUNTRIES,BRA,Brazil,2016,PERTUSSIS,Pertussis (Whooping cough),60
COUNTRIES,BRA,Brazil,2016,DIPHTHERIA,Diphtheria,200
COUNTRIES,BRA,Brazil,2016,TB,Tuberculosis,259
COUNTRIES,BRA,Brazil,2016,HEPB,Hepatitis B,30
COUNTRIES,BRA,Brazil,2017,MEASLES,Measles,0
COUNTRIES,BRA,Brazil,2017,POLIO,Poliomyelitis,508
COUNTRIES,BRA,Brazil,2017,PERTUSSIS,Pertussis (Whooping cough),365
COUNTRIES,BRA,Brazil,2017,DIPHTHERIA,Diphtheria,1062
COUNTRIES,BRA,Brazil,2017,TB,Tuberculosis,452
COUNTRIES,BRA,Brazil,2017,HEPB,Hepatitis B,84
COUNTRIES,BRA,Brazil,2018,MEASLES,Measles,27
COUNTRIES,BRA,Brazil,2018,POLIO,Poliomyelitis,176
COUNTRIES,BRA,Brazil,2018,PERTUSSIS,Pertussis (Whooping cough),79
COUNTRIES,BRA,Brazil,2018,DIPHTHERIA,Diphtheria,382
COUNTRIES,BRA,Brazil,2018,TB,Tuberculosis,602
COUNTRIES,BRA,Brazil,2018,HEPB,Hepatitis B,0
COUNTRIES,BRA,Brazil,2019,MEASLES,Measles,136
COUNTRIES,BRA,Brazil,2019,POLIO,Poliomyelitis,514
COUNTRIES,BRA,Brazil,2019,PERTUSSIS,Pertussis (Whooping cough),197
COUNTRIES,BRA,Brazil,2019,DIPHTHERIA,Diphtheria,97
COUNTRIES,BRA,Brazil,2019,TB,Tuberculosis,54
COUNTRIES,BRA,Brazil,2019,HEPB,Hepatitis B,54
COUNTRIES,BRA,Brazil,2020,MEASLES,Measles,214
COUNTRIES,BRA,Brazil,2020,POLIO,Poliomyelitis,784
COUNTRIES,BRA,Brazil,2020,PERTUSSIS,Pertussis (Whooping cough),122
COUNTRIES,BRA,Brazil,2020,DIPHTHERIA,Diphtheria,177
COUNTRIES,BRA,Brazil,2020,TB,Tuberculosis,669
COUNTRIES,BRA,Brazil,2020,HEPB,Hepatitis B,350
COUNTRIES,BRA,Brazil,2021,MEASLES,Measles,776
COUNTRIES,BRA,Brazil,2021,POLIO,Poliomyelitis,113
COUNTRIES,BRA,Brazil,2021,PERTUSSIS,Pertussis (Whooping cough),176
COUNTRIES,BRA,Brazil,2021,DIPHTHERIA,Diphtheria,101
COUNTRIES,BRA,Brazil,2021,TB,Tuberculosis,657
COUNTRIES,BRA,Brazil,2021,HEPB,Hepatitis B,202
COUNTRIES,BRA,Brazil,2022,MEASLES,Measles,472
COUNTRIES,BRA,Brazil,2022,POLIO,Poliomyelitis,204
COUNTRIES,BRA,Brazil,2022,PERTUSSIS,Pertussis (Whooping cough),272
COUNTRIES,BRA,Brazil,2022,DIPHTHERIA,Diphtheria,30
COUNTRIES,BRA,Brazil,2022,TB,Tuberculosis,1038
COUNTRIES,BRA,Brazil,2022,HEPB,Hepatitis B,0
COUNTRIES,BRA,Brazil,2023,MEASLES,Measles,6
COUNTRIES,BRA,Brazil,2023,POLIO,Poliomyelitis,551
COUNTRIES,BRA,Brazil,2023,PERTUSSIS,Pertussis (Whooping cough),233
COUNTRIES,BRA,Brazil,2023,DIPHTHERIA,Diphtheria,0
COUNTRIES,BRA,Brazil,2023,TB,Tuberculosis,393
COUNTRIES,BRA,Brazil,2023,HEPB,Hepatitis B,163
COUNTRIES,PAK,Pakistan,2010,MEASLES,Measles,1066
COUNTRIES,PAK,Pakistan,2010,POLIO,Poliomyelitis,2180
COUNTRIES,PAK,Pakistan,2010,PERTUSSIS,Pertussis (Whooping cough),2572
COUNTRIES,PAK,Pakistan,2010,DIPHTHERIA,Diphtheria,374
COUNTRIES,PAK,Pakistan,2010,TB,Tuberculosis,913
COUNTRIES,PAK,Pakistan,2010,HEPB,Hepatitis B,957
COUNTRIES,PAK,Pakistan,2011,MEASLES,Measles,1189
COUNTRIES,PAK,Pakistan,2011,POLIO,Poliomyelitis,637
COUNTRIES,PAK,Pakistan,2011,PERTUSSIS,Pertussis (Whooping cough),2219
COUNTRIES,PAK,Pakistan,2011,DIPHTHERIA,Diphtheria,1646
COUNTRIES,PAK,Pakistan,2011,TB,Tuberculosis,1000
COUNTRIES,PAK,Pakistan,2011,HEPB,Hepatitis B,2293
COUNTRIES,PAK,Pakistan,2012,MEASLES,Measles,1751
COUNTRIES,PAK,Pakistan,2012,POLIO,Poliomyelitis,676
COUNTRIES,PAK,Pakistan,2012,PERTUSSIS,Pertussis (Whooping cough),2479
COUNTRIES,PAK,Pakistan,2012,DIPHTHERIA,Diphtheria,1280
COUNTRIES,PAK,Pakistan,2012,TB,Tuberculosis,49
COUNTRIES,PAK,Pakistan,2012,HEPB,Hepatitis B,1342
COUNTRIES,PAK,Pakistan,2013,MEASLES,Measles,370
COUNTRIES,PAK,Pakistan,2013,POLIO,Poliomyelitis,0
COUNTRIES,PAK,Pakistan,2013,PERTUSSIS,Pertussis (Whooping cough),130
COUNTRIES,PAK,Pakistan,2013,DIPHTHERIA,Diphtheria,2469
COUNTRIES,PAK,Pakistan,2013,TB,Tuberculosis,977
COUNTRIES,PAK,Pakistan,2013,HEPB,Hepatitis B,1374
COUNTRIES,PAK,Pakistan,2014,MEASLES,Measles,1567
COUNTRIES,PAK,Pakistan,2014,POLIO,Poliomyelitis,1010
COUNTRIES,PAK,Pakistan,2014,PERTUSSIS,Pertussis (Whooping cough),1150
COUNTRIES,PAK,Pakistan,2014,DIPHTHERIA,Diphtheria,206
COUNTRIES,PAK,Pakistan,2014,TB,Tuberculosis,1758
COUNTRIES,PAK,Pakistan,2014,HEPB,Hepatitis B,1311
COUNTRIES,PAK,Pakistan,2015,MEASLES,Measles,1262
COUNTRIES,PAK,Pakistan,2015,POLIO,Poliomyelitis,2683
COUNTRIES,PAK,Pakistan,2015,PERTUSSIS,Pertussis (Whooping cough),135
COUNTRIES,PAK,Pakistan,2015,DIPHTHERIA,Diphtheria,1888
COUNTRIES,PAK,Pakistan,2015,TB,Tuberculosis,709
COUNTRIES,PAK,Pakistan,2015,HEPB,Hepatitis B,2145
COUNTRIES,PAK,Pakistan,2016,MEASLES,Measles,495
COUNTRIES,PAK,Pakistan,2016,POLIO,Poliomyelitis,1491
COUNTRIES,PAK,Pakistan,2016,PERTUSSIS,Pertussis (Whooping cough),540
COUNTRIES,PAK,Pakistan,2016,DIPHTHERIA,Diphtheria,1232
COUNTRIES,PAK,Pakistan,2016,TB,Tuberculosis,9335
COUNTRIES,PAK,Pakistan,2016,HEPB,Hepatitis B,362
COUNTRIES,PAK,Pakistan,2017,MEASLES,Measles,1334
COUNTRIES,PAK,Pakistan,2017,POLIO,Poliomyelitis,1741
COUNTRIES,PAK,Pakistan,2017,PERTUSSIS,Pertussis (Whooping cough),2168
COUNTRIES,PAK,Pakistan,2017,DIPHTHERIA,Diphtheria,484
COUNTRIES,PAK,Pakistan,2017,TB,Tuberculosis,2270
COUNTRIES,PAK,Pakistan,2017,HEPB,Hepatitis B,1538
COUNTRIES,PAK,Pakistan,2018,MEASLES,Measles,64
COUNTRIES,PAK,Pakistan,2018,POLIO,Poliomyelitis,1334
COUNTRIES,PAK,Pakistan,2018,PERTUSSIS,Pertussis (Whooping cough),1072
