ISO_3_Code,Country_Name,Who_Region,Year,Vaccine_code,Vaccine_description,Schedule_rounds,Target_pop,Target_pop_description,Geoarea,Age_administered,Source_comment
USA,United States of America,AMRO,2020,BCG,Bacille Calmette-Guerin (Tuberculosis),3,INFANT,Infants under 1 year,NATIONAL,6 months,Reported via national immunization program
USA,United States of America,AMRO,2020,DTP1,Diphtheria/Tetanus/Pertussis - 1st dose,1,CHILD,Children 1-5 years,NATIONAL,14 months,
USA,United States of America,AMRO,2020,DTP3,Diphtheria/Tetanus/Pertussis - 3rd dose,1,INFANT,Infants under 1 year,NATIONAL,14 months,Reported via national immunization program
USA,United States of America,AMRO,2020,DTP3,Diphtheria/Tetanus/Pertussis - 3rd dose,2,INFANT,Infants under 1 year,NATIONAL,8 months,
USA,United States of America,AMRO,2020,MCV1,Measles-containing vaccine - 1st dose,1,ADOLESCENT,Adolescents 10-19 years,NATIONAL,N/A,Reported via national immunization program
USA,United States of America,AMRO,2020,MCV2,Measles-containing vaccine - 2nd dose (booster),1,CHILD,Children 1-5 years,NATIONAL,5 months,
USA,United States of America,AMRO,2020,MCV2,Measles-containing vaccine - 2nd dose (booster),2,PREGNANT,Pregnant women,NATIONAL,N/A,
USA,United States of America,AMRO,2020,MCV2,Measles-containing vaccine - 2nd dose (booster),3,INFANT,Infants under 1 year,NATIONAL,13 months,
USA,United States of America,AMRO,2020,POL3,Polio - 3rd dose,1,CHILD,Children 1-5 years,NATIONAL,12 months,Reported via national immunization program
USA,United States of America,AMRO,2020,POL3,Polio - 3rd dose,2,PREGNANT,Pregnant women,NATIONAL,N/A,
USA,United States of America,AMRO,2020,POL3,Polio - 3rd dose,3,ELDERLY,Adults 65+,NATIONAL,N/A,Reported via national immunization program
USA,United States of America,AMRO,2020,HEPB3,Hepatitis B - 3rd dose,1,CHILD,Children 1-5 years,NATIONAL,10 months,Reported via national immunization program
USA,United States of America,AMRO,2020,PCV3,Pneumococcal conjugate vaccine - 3rd dose,1,PREGNANT,Pregnant women,NATIONAL,N/A,Reported via national immunization program
USA,United States of America,AMRO,2020,PCV3,Pneumococcal conjugate vaccine - 3rd dose,2,INFANT,Infants under 1 year,NATIONAL,17 months,Reported via national immunization program
USA,United States of America,AMRO,2022,BCG,Bacille Calmette-Guerin (Tuberculosis),1,INFANT,Infants under 1 year,NATIONAL,14 months,
USA,United States of America,AMRO,2022,BCG,Bacille Calmette-Guerin (Tuberculosis),2,CHILD,Children 1-5 years,NATIONAL,15 months,Reported via national immunization program
USA,United States of America,AMRO,2022,DTP1,Diphtheria/Tetanus/Pertussis - 1st dose,1,INFANT,Infants under 1 year,NATIONAL,6 months,
USA,United States of America,AMRO,2022,DTP1,Diphtheria/Tetanus/Pertussis - 1st dose,2,INFANT,Infants under 1 year,NATIONAL,9 months,Reported via national immunization program
USA,United States of America,AMRO,2022,DTP3,Diphtheria/Tetanus/Pertussis - 3rd dose,1,INFANT,Infants under 1 year,NATIONAL,3 months,Reported via national immunization program
USA,United States of America,AMRO,2022,DTP3,Diphtheria/Tetanus/Pertussis - 3rd dose,2,PREGNANT,Pregnant women,NATIONAL,N/A,Reported via national immunization program
USA,United States of America,AMRO,2022,DTP3,Diphtheria/Tetanus/Pertussis - 3rd dose,3,CHILD,Children 1-5 years,NATIONAL,11 months,Reported via national immunization program
USA,United States of America,AMRO,2022,MCV1,Measles-containing vaccine - 1st dose,1,CHILD,Children 1-5 years,NATIONAL,9 months,
USA,United States of America,AMRO,2022,MCV2,Measles-containing vaccine - 2nd dose (booster),1,ELDERLY,Adults 65+,NATIONAL,N/A,Reported via national immunization program
USA,United States of America,AMRO,2022,MCV2,Measles-containing vaccine - 2nd dose (booster),2,PREGNANT,Pregnant women,NATIONAL,N/A,Reported via national immunization program
USA,United States of America,AMRO,2022,POL3,Polio - 3rd dose,1,ADOLESCENT,Adolescents 10-19 years,NATIONAL,N/A,
USA,United States of America,AMRO,2022,POL3,Polio - 3rd dose,2,INFANT,Infants under 1 year,NATIONAL,2 months,Reported via national immunization program
USA,United States of America,AMRO,2022,HEPB3,Hepatitis B - 3rd dose,1,INFANT,Infants under 1 year,NATIONAL,7 months,
USA,United States of America,AMRO,2022,PCV3,Pneumococcal conjugate vaccine - 3rd dose,1,CHILD,Children 1-5 years,NATIONAL,14 months,Reported via national immunization program
USA,United States of America,AMRO,2022,PCV3,Pneumococcal conjugate vaccine - 3rd dose,2,PREGNANT,Pregnant women,NATIONAL,N/A,Reported via national immunization program
USA,United States of America,AMRO,2022,PCV3,Pneumococcal conjugate vaccine - 3rd dose,3,CHILD,Children 1-5 years,NATIONAL,5 months,
USA,United States of America,AMRO,2023,BCG,Bacille Calmette-Guerin (Tuberculosis),1,INFANT,Infants under 1 year,NATIONAL,15 months,Reported via national immunization program
USA,United States of America,AMRO,2023,BCG,Bacille Calmette-Guerin (Tuberculosis),2,ADOLESCENT,Adolescents 10-19 years,NATIONAL,N/A,Reported via national immunization program
USA,United States of America,AMRO,2023,DTP1,Diphtheria/Tetanus/Pertussis - 1st dose,1,ELDERLY,Adults 65+,NATIONAL,N/A,Reported via national immunization program
USA,United States of America,AMRO,2023,DTP3,Diphtheria/Tetanus/Pertussis - 3rd dose,1,ELDERLY,Adults 65+,NATIONAL,N/A,Reported via national immunization program
USA,United States of America,AMRO,2023,DTP3,Diphtheria/Tetanus/Pertussis - 3rd dose,2,ELDERLY,Adults 65+,NATIONAL,N/A,
USA,United States of America,AMRO,2023,MCV1,Measles-containing vaccine - 1st dose,1,CHILD,Children 1-5 years,NATIONAL,15 months,Reported via national immunization program
USA,United States of America,AMRO,2023,MCV1,Measles-containing vaccine - 1st dose,2,INFANT,Infants under 1 year,NATIONAL,9 months,Reported via national immunization program
USA,United States of America,AMRO,2023,MCV1,Measles-containing vaccine - 1st dose,3,INFANT,Infants under 1 year,NATIONAL,15 months,Reported via national immunization program
USA,United States of America,AMRO,2023,MCV2,Measles-containing vaccine - 2nd dose (booster),1,ADOLESCENT,Adolescents 10-19 years,NATIONAL,N/A,
USA,United States of America,AMRO,2023,MCV2,Measles-containing vaccine - 2nd dose (booster),2,INFANT,Infants under 1 year,NATIONAL,17 months,Reported via national immunization program
USA,United States of America,AMRO,2023,POL3,Polio - 3rd dose,1,INFANT,Infants under 1 year,NATIONAL,8 months,Reported via national immunization program
USA,United States of America,AMRO,2023,POL3,Polio - 3rd dose,2,INFANT,Infants under 1 year,NATIONAL,16 months,
USA,United States of America,AMRO,2023,POL3,Polio - 3rd dose,3,ELDERLY,Adults 65+,NATIONAL,N/A,
USA,United States of America,AMRO,2023,HEPB3,Hepatitis B - 3rd dose,1,ELDERLY,Adults 65+,NATIONAL,N/A,
USA,United States of America,AMRO,2023,HEPB3,Hepatitis B - 3rd dose,2,ELDERLY,Adults 65+,NATIONAL,N/A,
USA,United States of America,AMRO,2023,HEPB3,Hepatitis B - 3rd dose,3,PREGNANT,Pregnant women,NATIONAL,N/A,Reported via national immunization program
USA,United States of America,AMRO,2023,PCV3,Pneumococcal conjugate vaccine - 3rd dose,1,INFANT,Infants under 1 year,NATIONAL,17 months,
NGA,Nigeria,AFRO,2018,BCG,Bacille Calmette-Guerin (Tuberculosis),1,CHILD,Children 1-5 years,NATIONAL,4 months,
NGA,Nigeria,AFRO,2018,DTP1,Diphtheria/Tetanus/Pertussis - 1st dose,1,CHILD,Children 1-5 years,NATIONAL,14 months,
NGA,Nigeria,AFRO,2018,DTP3,Diphtheria/Tetanus/Pertussis - 3rd dose,1,ELDERLY,Adults 65+,NATIONAL,N/A,Reported via national immunization program
NGA,Nigeria,AFRO,2018,MCV1,Measles-containing vaccine - 1st dose,1,INFANT,Infants under 1 year,NATIONAL,7 months,Reported via national immunization program
NGA,Nigeria,AFRO,2018,MCV1,Measles-containing vaccine - 1st dose,2,ADOLESCENT,Adolescents 10-19 years,NATIONAL,N/A,Reported via national immunization program
NGA,Nigeria,AFRO,2018,MCV1,Measles-containing vaccine - 1st dose,3,CHILD,Children 1-5 years,NATIONAL,12 months,
NGA,Nigeria,AFRO,2018,MCV2,Measles-containing vaccine - 2nd dose (booster),1,INFANT,Infants under 1 year,NATIONAL,4 months,Reported via national immunization program
NGA,Nigeria,AFRO,2018,MCV2,Measles-containing vaccine - 2nd dose (booster),2,PREGNANT,Pregnant women,NATIONAL,N/A,Reported via national immunization program
NGA,Nigeria,AFRO,2018,POL3,Polio - 3rd dose,1,PREGNANT,Pregnant women,NATIONAL,N/A,Reported via national immunization program
NGA,Nigeria,AFRO,2018,POL3,Polio - 3rd dose,2,INFANT,Infants under 1 year,NATIONAL,2 months,Reported via national immunization program
NGA,Nigeria,AFRO,2018,POL3,Polio - 3rd dose,3,ELDERLY,Adults 65+,NATIONAL,N/A,Reported via national immunization program
NGA,Nigeria,AFRO,2018,HEPB3,Hepatitis B - 3rd dose,1,INFANT,Infants under 1 year,NATIONAL,1 months,Reported via national immunization program
NGA,Nigeria,AFRO,2018,HEPB3,Hepatitis B - 3rd dose,2,INFANT,Infants under 1 year,NATIONAL,12 months,Reported via national immunization program
NGA,Nigeria,AFRO,2018,HEPB3,Hepatitis B - 3rd dose,3,ELDERLY,Adults 65+,NATIONAL,N/A,Reported via national immunization program
NGA,Nigeria,AFRO,2018,PCV3,Pneumococcal conjugate vaccine - 3rd dose,1,INFANT,Infants under 1 year,NATIONAL,17 months,Reported via national immunization program
NGA,Nigeria,AFRO,2018,PCV3,Pneumococcal conjugate vaccine - 3rd dose,2,ADOLESCENT,Adolescents 10-19 years,NATIONAL,N/A,Reported via national immunization program
NGA,Nigeria,AFRO,2018,PCV3,Pneumococcal conjugate vaccine - 3rd dose,3,CHILD,Children 1-5 years,NATIONAL,6 months,Reported via national immunization program
NGA,Nigeria,AFRO,2020,BCG,Bacille Calmette-Guerin (Tuberculosis),1,CHILD,Children 1-5 years,NATIONAL,11 months,Reported via national immunization program
NGA,Nigeria,AFRO,2020,DTP1,Diphtheria/Tetanus/Pertussis - 1st dose,1,ELDERLY,Adults 65+,NATIONAL,N/A,Reported via national immunization program
NGA,Nigeria,AFRO,2020,DTP1,Diphtheria/Tetanus/Pertussis - 1st dose,2,CHILD,Children 1-5 years,NATIONAL,14 months,Reported via national immunization program
NGA,Nigeria,AFRO,2020,DTP1,Diphtheria/Tetanus/Pertussis - 1st dose,3,CHILD,Children 1-5 years,NATIONAL,9 months,
NGA,Nigeria,AFRO,2020,DTP3,Diphtheria/Tetanus/Pertussis - 3rd dose,1,PREGNANT,Pregnant women,NATIONAL,N/A,Reported via national immunization program
NGA,Nigeria,AFRO,2020,DTP3,Diphtheria/Tetanus/Pertussis - 3rd dose,2,ELDERLY,Adults 65+,NATIONAL,N/A,Reported via national immunization program
NGA,Nigeria,AFRO,2020,MCV1,Measles-containing vaccine - 1st dose,1,ELDERLY,Adults 65+,NATIONAL,N/A,Reported via national immunization program
NGA,Nigeria,AFRO,2020,MCV2,Measles-containing vaccine - 2nd dose (booster),1,ADOLESCENT,Adolescents 10-19 years,NATIONAL,N/A,Reported via national immunization program
NGA,Nigeria,AFRO,2020,MCV2,Measles-containing vaccine - 2nd dose (booster),2,ELDERLY,Adults 65+,NATIONAL,N/A,Reported via national immunization program
NGA,Nigeria,AFRO,2020,POL3,Polio - 3rd dose,1,PREGNANT,Pregnant women,NATIONAL,N/A,
NGA,Nigeria,AFRO,2020,POL3,Polio - 3rd dose,2,ELDERLY,Adults 65+,NATIONAL,N/A,
NGA,Nigeria,AFRO,2020,POL3,Polio - 3rd dose,3,ADOLESCENT,Adolescents 10-19 years,NATIONAL,N/A,
NGA,Nigeria,AFRO,2020,HEPB3,Hepatitis B - 3rd dose,1,PREGNANT,Pregnant women,NATIONAL,N/A,
NGA,Nigeria,AFRO,2020,HEPB3,Hepatitis B - 3rd dose,2,PREGNANT,Pregnant women,NATIONAL,N/A,Reported via national immunization program
NGA,Nigeria,AFRO,2020,HEPB3,Hepatitis B - 3rd dose,3,ELDERLY,Adults 65+,NATIONAL,N/A,
NGA,Nigeria,AFRO,2020,PCV3,Pneumococcal conjugate vaccine - 3rd dose,1,ELDERLY,Adults 65+,NATIONAL,N/A,Reported via national immunization program
NGA,Nigeria,AFRO,2020,PCV3,Pneumococcal conjugate vaccine - 3rd dose,2,CHILD,Children 1-5 years,NATIONAL,11 months,Reported via national immunization program
NGA,Nigeria,AFRO,2020,PCV3,Pneumococcal conjugate vaccine - 3rd dose,3,ELDERLY,Adults 65+,NATIONAL,N/A,
NGA,Nigeria,AFRO,2022,BCG,Bacille Calmette-Guerin (Tuberculosis),1,ELDERLY,Adults 65+,NATIONAL,N/A,Reported via national immunization program
NGA,Nigeria,AFRO,2022,BCG,Bacille Calmette-Guerin (Tuberculosis),2,INFANT,Infants under 1 year,NATIONAL,8 months,Reported via national immunization program
NGA,Nigeria,AFRO,2022,BCG,Bacille Calmette-Guerin (Tuberculosis),3,INFANT,Infants under 1 year,NATIONAL,5 months,Reported via national immunization program
NGA,Nigeria,AFRO,2022,DTP1,Diphtheria/Tetanus/Pertussis - 1st dose,1,ELDERLY,Adults 65+,NATIONAL,N/A,Reported via national immunization program
NGA,Nigeria,AFRO,2022,DTP1,Diphtheria/Tetanus/Pertussis - 1st dose,2,PREGNANT,Pregnant women,NATIONAL,N/A,
NGA,Nigeria,AFRO,2022,DTP3,Diphtheria/Tetanus/Pertussis - 3rd dose,1,PREGNANT,Pregnant women,NATIONAL,N/A,Reported via national immunization program
NGA,Nigeria,AFRO,2022,MCV1,Measles-containing vaccine - 1st dose,1,CHILD,Children 1-5 years,NATIONAL,1 months,Reported via national immunization program
NGA,Nigeria,AFRO,2022,MCV1,Measles-containing vaccine - 1st dose,2,ELDERLY,Adults 65+,NATIONAL,N/A,
NGA,Nigeria,AFRO,2022,MCV2,Measles-containing vaccine - 2nd dose (booster),1,ELDERLY,Adults 65+,NATIONAL,N/A,Reported via national immunization program
NGA,Nigeria,AFRO,2022,POL3,Polio - 3rd dose,1,INFANT,Infants under 1 year,NATIONAL,8 months,
NGA,Nigeria,AFRO,2022,POL3,Polio - 3rd dose,2,PREGNANT,Pregnant women,NATIONAL,N/A,
NGA,Nigeria,AFRO,2022,POL3,Polio - 3rd dose,3,INFANT,Infants under 1 year,NATIONAL,4 months,Reported via national immunization program
NGA,Nigeria,AFRO,2022,HEPB3,Hepatitis B - 3rd dose,1,INFANT,Infants under 1 year,NATIONAL,1 months,Reported via national immunization program
NGA,Nigeria,AFRO,2022,HEPB3,Hepatitis B - 3rd dose,2,INFANT,Infants under 1 year,NATIONAL,0 months,
NGA,Nigeria,AFRO,2022,PCV3,Pneumococcal conjugate vaccine - 3rd dose,1,INFANT,Infants under 1 year,NATIONAL,4 months,Reported via national immunization program
NGA,Nigeria,AFRO,2022,PCV3,Pneumococcal conjugate vaccine - 3rd dose,2,ELDERLY,Adults 65+,NATIONAL,N/A,Reported via national immunization program
NGA,Nigeria,AFRO,2023,BCG,Bacille Calmette-Guerin (Tuberculosis),1,ELDERLY,Adults 65+,NATIONAL,N/A,Reported via national immunization program
NGA,Nigeria,AFRO,2023,BCG,Bacille Calmette-Guerin (Tuberculosis),2,INFANT,Infants under 1 year,NATIONAL,9 months,
NGA,Nigeria,AFRO,2023,DTP1,Diphtheria/Tetanus/Pertussis - 1st dose,1,INFANT,Infants under 1 year,NATIONAL,3 months,Reported via national immunization program
NGA,Nigeria,AFRO,2023,DTP1,Diphtheria/Tetanus/Pertussis - 1st dose,2,PREGNANT,Pregnant women,NATIONAL,N/A,
NGA,Nigeria,AFRO,2023,DTP1,Diphtheria/Tetanus/Pertussis - 1st dose,3,CHILD,Children 1-5 years,NATIONAL,10 months,Reported via national immunization program
NGA,Nigeria,AFRO,2023,DTP3,Diphtheria/Tetanus/Pertussis - 3rd dose,1,ELDERLY,Adults 65+,NATIONAL,N/A,
NGA,Nigeria,AFRO,2023,DTP3,Diphtheria/Tetanus/Pertussis - 3rd dose,2,PREGNANT,Pregnant women,NATIONAL,N/A,Reported via national immunization program
NGA,Nigeria,AFRO,2023,DTP3,Diphtheria/Tetanus/Pertussis - 3rd dose,3,INFANT,Infants under 1 year,NATIONAL,9 months,Reported via national immunization program
NGA,Nigeria,AFRO,2023,MCV1,Measles-containing vaccine - 1st dose,1,ADOLESCENT,Adolescents 10-19 years,NATIONAL,N/A,Reported via national immunization program
NGA,Nigeria,AFRO,2023,MCV2,Measles-containing vaccine - 2nd dose (booster),1,CHILD,Children 1-5 years,NATIONAL,13 months,Reported via national immunization program
